month,year,Superior,Michigan-Huron,St. Clair,Erie,Ontario
dec,1963,601.35,576.48,572.11,569.16,243.86
jan,1964,601.08,576.21,571.33,569.09,243.37
feb,1964,600.89,576.08,571.33,569.16,242.85
mar,1964,600.69,576.05,571.92,569.46,242.85
apr,1964,600.69,576.15,572.34,570.08,243.67
may,1964,601.38,576.57,572.64,570.31,244.55
jun,1964,601.74,576.64,572.6,570.24,244.98
jul,1964,601.97,576.71,572.57,570.11,245.01
aug,1964,602.07,576.67,572.51,569.88,244.65
sep,1964,602.17,576.64,572.31,569.65,244.19
oct,1964,602.07,576.44,571.92,569.16,243.44
nov,1964,601.87,576.28,571.65,568.9,242.78
dec,1964,601.57,576.18,571.65,568.9,242.32
jan,1965,601.31,576.12,571.33,569.09,242.22
feb,1965,601.08,576.18,571.52,569.26,242.39
mar,1965,600.92,576.35,572.31,569.78,242.91
apr,1965,600.98,576.67,572.77,570.21,243.6
may,1965,601.41,577.23,572.97,570.47,244.46
jun,1965,601.64,577.43,573.1,570.51,244.85
jul,1965,601.74,577.49,573.03,570.31,245.11
aug,1965,601.84,577.56,573.03,570.14,244.95
sep,1965,601.8,577.66,572.97,570.05,244.75
oct,1965,601.87,577.76,572.83,569.78,244.55
nov,1965,601.74,577.66,572.7,569.69,244.49
dec,1965,601.67,577.72,572.83,569.78,244.69
jan,1966,601.48,577.76,572.97,570.05,244.62
feb,1966,601.28,577.69,572.77,570.08,244.52
mar,1966,601.25,577.85,573.2,570.37,244.95
apr,1966,601.31,578.08,573.52,570.73,245.21
may,1966,601.57,578.28,573.82,571.06,245.37
jun,1966,601.94,578.41,573.92,571.13,245.77
jul,1966,602,578.35,573.85,571.06,245.73
aug,1966,602.17,578.22,573.65,570.87,245.47
sep,1966,602.1,577.99,573.43,570.57,245.14
oct,1966,601.94,577.69,572.9,569.98,244.69
nov,1966,601.77,577.46,572.83,570.01,244.42
dec,1966,601.61,577.69,573.33,570.51,244.65
jan,1967,601.41,577.66,573.36,570.47,244.72
feb,1967,601.25,577.66,572.97,570.47,244.75
mar,1967,601.08,577.62,573.36,570.57,244.52
apr,1967,601.35,578.18,573.95,571.13,245.31
may,1967,601.67,578.58,574.18,571.52,245.96
jun,1967,601.87,578.9,574.38,571.52,246.36
jul,1967,602.03,579.07,574.48,571.59,246.56
aug,1967,602.13,579,574.34,571.46,246.39
sep,1967,602,578.74,574.08,571.16,245.93
oct,1967,601.84,578.54,573.88,570.93,245.73
nov,1967,601.74,578.54,573.82,570.83,245.64
dec,1967,601.51,578.48,574.02,571.06,245.31
jan,1968,601.25,578.38,573.85,571.19,244.98
feb,1968,601.02,578.41,574.21,571.52,245.05
mar,1968,600.85,578.31,574.15,571.46,245.08
apr,1968,601.15,578.58,574.28,571.75,245.73
may,1968,601.48,578.74,574.41,571.82,245.73
jun,1968,602,578.97,574.64,571.98,246.13
jul,1968,602.46,579.23,574.8,572.05,246.33
aug,1968,602.76,579.33,574.74,571.92,246
sep,1968,602.99,579.4,574.61,571.62,245.6
oct,1968,602.95,579.3,574.25,571.13,244.95
nov,1968,602.72,579.07,574.05,570.96,244.52
dec,1968,602.4,579,574.18,571.03,244.75
jan,1969,602.23,578.97,574.15,571.16,244.82
feb,1969,602.13,578.97,574.34,571.62,245.05
mar,1969,601.9,578.9,574.38,571.56,244.82
apr,1969,601.9,579.2,574.93,572.11,245.44
may,1969,602.2,579.72,575.33,572.67,246.13
jun,1969,602.26,580.12,575.52,572.9,246.56
jul,1969,602.3,580.51,575.92,573.13,246.33
aug,1969,602.33,580.54,575.75,572.93,245.83
sep,1969,602.17,580.25,575.39,572.44,245.01
oct,1969,602.03,579.99,575,571.92,244.42
nov,1969,601.84,579.82,574.74,571.65,244.26
dec,1969,601.54,579.53,574.61,571.65,244.23
jan,1970,601.38,579.36,573.39,571.23,244.16
feb,1970,601.18,579.27,573.75,571.13,244.23
mar,1970,601.02,579.17,574.38,571.26,244.29
apr,1970,600.98,579.33,574.7,571.78,245.05
may,1970,601.57,579.66,574.87,572.05,245.7
jun,1970,602.03,579.92,575.16,572.21,245.87
jul,1970,602.33,580.05,575.2,572.28,246.03
aug,1970,602.4,579.99,575.13,572.11,245.73
sep,1970,602.36,579.95,574.97,571.82,245.21
oct,1970,602.33,579.82,574.8,571.62,244.88
nov,1970,602.53,579.69,574.64,571.52,244.62
dec,1970,602.36,579.63,574.67,571.56,244.62
jan,1971,602.07,579.49,574.61,571.46,244.69
feb,1971,601.87,579.46,574.34,571.36,244.65
mar,1971,601.84,579.66,574.9,571.88,245.11
apr,1971,601.94,579.92,575.1,572.15,245.64
may,1971,602.23,580.25,575.26,572.31,246.13
jun,1971,602.56,580.51,575.46,572.44,246
jul,1971,602.69,580.58,575.46,572.31,245.83
aug,1971,602.69,580.58,575.46,572.11,245.47
sep,1971,602.59,580.38,575.36,572.05,245.21
oct,1971,602.53,580.18,575.07,571.78,244.72
nov,1971,602.43,579.92,574.67,571.39,244.23
dec,1971,602.23,579.89,574.67,571.42,244.19
jan,1972,601.97,579.82,574.87,571.56,244.55
feb,1972,601.77,579.56,574.8,571.52,244.85
mar,1972,601.77,579.56,574.97,571.92,245.18
apr,1972,601.8,579.79,575.2,572.44,245.9
may,1972,602.2,580.31,575.62,572.87,246.75
jun,1972,602.3,580.48,575.72,572.87,246.92
jul,1972,602.36,580.68,575.92,573.03,247.18
aug,1972,602.62,580.87,575.92,572.87,246.88
sep,1972,602.72,580.94,575.89,572.74,246.13
oct,1972,602.62,580.81,575.75,572.57,245.34
nov,1972,602.36,580.71,575.82,572.74,245.11
dec,1972,602,580.58,575.85,572.97,245.41
jan,1973,601.8,580.64,575.98,573.03,246.23
feb,1973,601.57,580.54,575.92,573.06,246.75
mar,1973,601.64,580.64,576.38,573.43,247.15
apr,1973,601.8,581.04,576.54,573.88,248.2
may,1973,602.3,581.36,576.57,573.85,248.46
jun,1973,602.59,581.69,576.84,574.08,248.36
jul,1973,602.79,581.69,576.84,573.92,247.77
aug,1973,603.02,581.66,576.64,573.62,246.95
sep,1973,603.02,581.4,576.31,573.13,246.1
oct,1973,602.82,581.14,575.98,572.74,245.34
nov,1973,602.53,580.84,575.66,572.38,244.88
dec,1973,602.3,580.71,575.69,572.44,244.85
jan,1974,602.03,580.54,575.98,572.6,245.51
feb,1974,601.84,580.61,576.02,572.93,246.13
mar,1974,601.67,580.71,576.35,573.49,246.39
apr,1974,601.71,580.94,576.48,573.75,247.01
may,1974,602.1,581.33,576.67,573.88,247.7
jun,1974,602.46,581.63,576.64,573.82,248
jul,1974,602.76,581.76,576.67,573.65,247.7
aug,1974,602.92,581.56,576.44,573.36,246.88
sep,1974,602.99,581.2,576.12,572.9,245.93
oct,1974,602.92,580.84,575.66,572.38,245.01
nov,1974,602.89,580.64,575.43,572.28,244.52
dec,1974,602.66,580.41,575.46,572.47,244.55
jan,1975,602.43,580.28,575.59,572.54,244.62
feb,1975,602.26,580.25,575.62,572.67,245.11
mar,1975,602.07,580.28,575.72,573.1,245.54
apr,1975,601.9,580.45,575.98,573.16,246.1
may,1975,602.2,580.91,576.05,573.2,246.39
jun,1975,602.43,581.17,576.25,573.33,246.39
jul,1975,602.66,581.2,576.18,573.2,246
aug,1975,602.62,581.04,576.12,573,245.51
sep,1975,602.56,580.94,576.15,573.06,245.18
oct,1975,602.36,580.54,575.72,572.7,245.08
nov,1975,602.33,580.28,575.33,572.38,244.75
dec,1975,602.3,580.12,575.36,572.31,244.62
jan,1976,602,579.92,575.36,572.31,244.82
feb,1976,601.77,579.89,575.2,572.34,245.11
mar,1976,601.71,580.28,576.15,573.36,246.29
apr,1976,602,580.77,576.25,573.46,247.28
may,1976,602.26,581.07,576.41,573.49,247.83
jun,1976,602.33,581.2,576.31,573.39,247.83
jul,1976,602.46,581.2,576.38,573.36,247.44
aug,1976,602.43,580.97,576.18,573.16,246.78
sep,1976,602.2,580.54,575.79,572.7,246.06
oct,1976,601.9,580.05,575.33,572.31,245.51
nov,1976,601.54,579.53,574.74,571.72,244.98
dec,1976,601.18,579.1,574.51,571.36,244.55
jan,1977,600.92,578.81,574.48,571.06,244.42
feb,1977,600.72,578.67,574.67,570.83,244.23
mar,1977,600.82,578.87,574.64,571.42,244.82
apr,1977,601.05,579.27,575,572.11,245.6
may,1977,601.28,579.3,575.13,572.51,245.73
jun,1977,601.41,579.23,574.93,572.28,245.47
jul,1977,601.71,579.27,574.93,572.28,245.57
aug,1977,601.84,579.2,574.87,572.18,245.6
sep,1977,602.3,579.17,574.87,572.11,245.47
oct,1977,602.53,579.07,574.74,571.92,245.51
nov,1977,602.43,579.07,574.48,571.62,245.24
dec,1977,602.17,579.1,574.87,571.78,245.57
jan,1978,601.97,579,575.23,571.92,246.33
feb,1978,601.57,578.9,575.16,571.78,246.46
mar,1978,601.41,578.84,575.03,571.92,246
apr,1978,601.38,579.1,575.39,572.87,246.78
may,1978,601.54,579.43,575.39,572.97,247.11
jun,1978,601.84,579.63,575.39,572.83,246.82
jul,1978,602.1,579.69,575.3,572.57,246.19
aug,1978,602.26,579.66,575.1,572.24,245.7
sep,1978,602.4,579.76,574.97,571.88,245.18
oct,1978,602.2,579.72,574.74,571.59,244.69
nov,1978,601.8,579.46,574.48,571.36,244.23
dec,1978,601.51,579.2,574.25,571.13,244.16
jan,1979,601.21,579.1,574.67,571.13,244.72
feb,1979,601.08,579,574.67,571,244.88
mar,1979,601.18,579.2,574.74,571.49,245.31
apr,1979,601.41,579.76,575.46,572.34,246.23
may,1979,602.03,580.31,575.59,572.67,246.59
jun,1979,602.53,580.54,575.72,572.77,246.49
jul,1979,602.62,580.64,575.79,572.77,246.13
aug,1979,602.62,580.71,575.75,572.67,245.8
sep,1979,602.59,580.58,575.69,572.57,245.6
oct,1979,602.4,580.31,575.33,572.31,245.24
nov,1979,602.36,580.15,575.13,571.98,244.78
dec,1979,602.13,580.09,575.23,572.11,244.69
jan,1980,601.94,579.99,575.33,572.34,244.75
feb,1980,601.71,579.79,575.2,572.11,244.78
mar,1980,601.48,579.66,575.2,572.28,244.75
apr,1980,601.54,579.95,575.79,573,246.03
may,1980,601.67,580.18,575.75,573.06,246.52
jun,1980,601.8,580.38,575.89,573.16,246.49
jul,1980,601.9,580.48,575.89,573.03,246.46
aug,1980,602,580.48,575.98,573.16,246.26
sep,1980,602.2,580.38,575.79,572.9,245.67
oct,1980,602.13,580.12,575.3,572.31,244.95
nov,1980,601.9,579.79,574.9,571.85,244.59
dec,1980,601.61,579.56,574.8,571.72,244.55
jan,1981,601.28,579.36,573.85,571.29,244.46
feb,1981,601.12,579.27,574.84,571.33,244.46
mar,1981,601.12,579.4,574.87,571.82,245.24
apr,1981,601.44,579.63,575,572.05,245.21
may,1981,601.71,579.89,575.33,572.47,245.54
jun,1981,601.94,580.05,575.46,572.74,245.9
jul,1981,602.07,580.12,575.66,572.83,246.1
aug,1981,602,580.09,575.56,572.64,246
sep,1981,601.74,580.05,575.52,572.51,245.83
oct,1981,601.64,579.82,575.39,572.31,245.41
nov,1981,601.54,579.59,575.07,572.15,245.28
dec,1981,601.31,579.36,574.87,571.95,244.91
jan,1982,601.15,579.1,575.07,571.78,244.72
feb,1982,600.92,578.94,574.8,571.78,244.75
mar,1982,600.82,578.9,575.2,572.31,244.82
apr,1982,601.02,579.27,575.46,572.97,245.77
may,1982,601.54,579.46,575.36,572.9,246.06
jun,1982,601.74,579.59,575.46,572.93,246.29
jul,1982,602.03,579.69,575.46,572.77,246.16
aug,1982,602.26,579.69,575.26,572.38,245.57
sep,1982,602.3,579.56,575,571.98,245.11
oct,1982,602.53,579.46,574.74,571.69,244.69
nov,1982,602.59,579.4,574.74,571.65,244.52
dec,1982,602.4,579.63,575,571.98,244.55
jan,1983,602.23,579.63,575,572.11,244.88
feb,1983,602,579.59,574.97,572.05,245.28
mar,1983,601.94,579.66,575.13,572.15,245.31
apr,1983,601.97,579.92,575.49,572.57,245.64
may,1983,602.07,580.38,575.95,573.1,246.56
jun,1983,602.33,580.77,576.08,573.16,246.62
jul,1983,602.49,580.77,576.12,573.16,246.06
aug,1983,602.46,580.64,576.12,573.1,245.8
sep,1983,602.4,580.48,575.72,572.64,245.37
oct,1983,602.49,580.28,575.39,572.24,244.88
nov,1983,602.4,579.95,575.26,572.18,244.52
dec,1983,602.3,579.86,575.59,572.44,244.82
jan,1984,602,579.72,575.43,572.11,245.18
feb,1984,601.84,579.72,575.33,572.15,245.28
mar,1984,601.71,579.79,575.79,572.64,245.73
apr,1984,601.67,580.09,574.21,572.93,246.46
may,1984,602,580.41,575.66,572.83,247.05
jun,1984,602.33,580.74,576.05,573.16,247.11
jul,1984,602.53,580.91,576.12,573.06,246.75
aug,1984,602.56,580.84,576.05,572.87,246.13
sep,1984,602.46,580.77,575.85,572.6,245.47
oct,1984,602.4,580.58,575.66,572.38,244.85
nov,1984,602.3,580.48,575.46,572.18,244.49
dec,1984,602.2,580.31,575.3,572.05,244.39
jan,1985,601.97,580.31,575.72,572.34,244.95
feb,1985,601.77,580.25,575.98,572.44,244.85
mar,1985,601.74,580.64,576.51,573.46,245.6
apr,1985,601.87,581.17,576.8,574.08,246.36
may,1985,602.3,581.5,576.74,573.88,246.65
jun,1985,602.56,581.53,576.74,573.79,246.62
jul,1985,602.82,581.46,576.64,573.59,246.42
aug,1985,603.05,581.33,576.51,573.26,245.83
sep,1985,603.22,581.36,576.38,573.03,245.41
oct,1985,603.38,581.23,576.12,572.67,244.88
nov,1985,603.31,581.33,576.54,573.16,244.98
dec,1985,603.05,581.36,576.64,573.36,245.37
jan,1986,602.69,581.17,576.77,573.1,245.73
feb,1986,602.46,581.07,576.77,573.43,246
mar,1986,602.4,581.1,576.77,573.75,246.26
apr,1986,602.62,581.46,576.84,573.98,247.01
may,1986,602.82,581.63,576.87,574.05,247.01
jun,1986,602.89,581.79,577.17,574.28,247.18
jul,1986,603.05,581.99,577.2,574.25,247.15
aug,1986,603.15,581.99,577.1,573.95,246.88
sep,1986,603.05,581.96,576.9,573.59,246.42
oct,1986,602.99,582.35,577.3,573.95,246.59
nov,1986,602.85,581.96,576.84,573.65,246.19
dec,1986,602.59,581.56,576.77,573.79,246.13
jan,1987,602.3,581.3,576.67,573.69,246.06
feb,1987,602.03,581.04,576.18,573.43,246.19
mar,1987,601.84,580.91,575.98,573.29,246.06
apr,1987,601.74,580.94,576.48,573.59,246.75
may,1987,601.77,580.91,576.31,573.49,246.49
jun,1987,601.9,580.94,576.31,573.39,246.13
jul,1987,602.03,580.84,576.31,573.43,245.83
aug,1987,602.2,580.68,576.12,573.1,245.24
sep,1987,602.13,580.38,575.85,572.83,244.82
oct,1987,601.9,580.02,575.33,572.31,244.46
nov,1987,601.71,579.72,575.1,572.05,244.23
dec,1987,601.61,579.66,575.2,572.08,244.55
jan,1988,601.35,579.49,575.23,571.95,244.52
feb,1988,601.12,579.4,575.07,571.95,244.72
mar,1988,600.95,579.3,574.93,572.05,244.72
apr,1988,601.05,579.63,575.23,572.38,245.24
may,1988,601.18,579.72,575.23,572.38,245.67
jun,1988,601.25,579.63,575.13,572.18,245.8
jul,1988,601.28,579.43,574.93,571.95,245.6
aug,1988,601.67,579.3,574.8,571.72,245.41
sep,1988,601.84,579,574.48,571.33,245.01
oct,1988,601.74,578.81,574.15,571,244.62
nov,1988,601.9,578.84,574.11,570.93,244.55
dec,1988,601.9,578.81,574.08,570.9,244.29
jan,1989,601.74,578.67,574.21,571.06,244.16
feb,1989,601.48,578.51,574.28,571.1,244.19
mar,1989,601.31,578.48,574.02,571.16,244.06
apr,1989,601.41,578.77,574.48,571.69,245.08
may,1989,601.67,578.87,574.61,571.92,246.03
jun,1989,602.03,579.27,575.2,572.57,246.78
jul,1989,602.13,579.3,575.26,572.54,246.69
aug,1989,602.1,579.2,575,572.15,246.13
sep,1989,602.03,578.97,574.8,571.85,245.54
oct,1989,601.74,578.54,574.28,571.36,245.08
nov,1989,601.64,578.31,573.92,571.06,244.91
dec,1989,601.28,578.02,574.02,570.83,244.69
jan,1990,601.02,577.92,573.82,570.77,244.55
feb,1990,600.82,577.95,574.21,571.39,244.82
mar,1990,600.69,578.05,574.41,571.85,245.31
apr,1990,600.66,578.31,574.48,572.05,246
may,1990,600.98,578.58,574.67,572.21,246.42
jun,1990,601.21,578.87,574.84,572.28,246.52
jul,1990,601.54,579.1,575,572.21,246.1
aug,1990,601.57,579.04,574.97,572.15,245.64
sep,1990,601.64,578.9,574.93,572.08,245.08
oct,1990,601.67,578.77,574.67,571.78,244.88
nov,1990,601.64,578.71,574.44,571.56,244.82
dec,1990,601.41,578.71,574.48,571.65,244.91
jan,1991,601.15,578.61,574.93,572.24,245.83
feb,1991,600.92,578.44,574.54,572.05,246.06
mar,1991,600.85,578.51,574.77,572.24,246.26
apr,1991,601.12,579,575.03,572.44,246.72
may,1991,601.44,579.4,575.26,572.6,247.01
jun,1991,601.61,579.59,575.43,572.64,246.65
jul,1991,601.9,579.53,575.26,572.31,246.19
aug,1991,601.9,579.36,575.13,571.98,245.6
sep,1991,601.84,579,574.77,571.65,244.88
oct,1991,601.8,578.74,574.28,571.16,244.39
nov,1991,601.9,578.67,574.02,570.93,243.96
dec,1991,601.87,578.74,574.11,571,244.06
jan,1992,601.61,578.67,574.18,571.13,244.23
feb,1992,601.38,578.61,574.28,571.26,244.26
mar,1992,601.21,578.67,574.48,571.59,244.62
apr,1992,601.12,578.87,574.74,571.95,245.54
may,1992,601.44,579.17,574.97,572.24,246.42
jun,1992,601.57,579.13,575,572.21,246.23
jul,1992,601.87,579.2,575.23,572.38,246.06
aug,1992,601.94,579.17,575.3,572.54,246.16
sep,1992,602.1,579.13,575.33,572.51,246
oct,1992,602.17,579.04,574.93,572.15,245.57
nov,1992,602.03,579.13,575.07,572.24,245.47
dec,1992,601.94,579.2,574.93,572.24,245.6
jan,1993,601.74,579.2,575.46,572.77,246.19
feb,1993,601.44,579.1,575,572.6,246.59
mar,1993,601.18,579,575.26,572.64,246.52
apr,1993,601.18,579.33,575.52,573.13,247.44
may,1993,601.64,579.72,575.56,573.06,248.06
jun,1993,601.97,580.12,575.72,573.03,247.57
jul,1993,602.23,580.41,575.98,572.97,246.85
aug,1993,602.43,580.31,575.82,572.6,246.1
sep,1993,602.43,580.15,575.59,572.21,245.24
oct,1993,602.3,579.92,575.13,571.82,244.75
nov,1993,602.1,579.72,574.84,571.65,244.49
dec,1993,601.9,579.53,574.87,571.78,244.62
jan,1994,601.67,579.3,574.34,571.52,244.59
feb,1994,601.44,579.27,574.67,571.42,244.49
mar,1994,601.31,579.36,574.74,571.75,244.59
apr,1994,601.38,579.49,575.2,572.44,245.64
may,1994,601.71,579.72,575.36,572.6,246.39
jun,1994,601.9,579.79,575.46,572.57,246.33
jul,1994,602.13,580.12,575.75,572.74,246.13
aug,1994,602.23,580.09,575.72,572.6,245.83
sep,1994,602.33,579.99,575.43,572.21,245.34
oct,1994,602.23,579.76,575.1,571.88,244.82
nov,1994,602.03,579.59,574.74,571.59,244.55
dec,1994,601.77,579.36,574.67,571.52,244.42
jan,1995,601.48,579.17,574.87,571.62,244.55
feb,1995,601.18,579.04,574.44,571.72,245.14
mar,1995,601.02,578.97,574.41,571.78,245.14
apr,1995,601.05,579.04,574.77,572.08,245.08
may,1995,601.25,579.33,575,572.24,245.41
jun,1995,601.41,579.53,575.16,572.34,245.73
jul,1995,601.61,579.49,575.26,572.28,245.77
aug,1995,601.71,579.53,575.3,572.18,245.67
sep,1995,601.84,579.23,574.87,571.65,245.08
oct,1995,602,578.94,574.41,571.36,244.91
nov,1995,601.97,578.87,574.31,571.16,245.08
dec,1995,601.74,578.77,574.18,571.1,244.91
jan,1996,601.51,578.64,573.29,570.96,244.82
feb,1996,601.44,578.71,574.18,571.03,245.24
mar,1996,601.38,578.71,574.15,571.33,245.31
apr,1996,601.41,578.94,573.65,571.62,245.47
may,1996,601.9,579.49,575.16,572.28,246.49
jun,1996,602.36,579.92,575.62,572.77,246.82
jul,1996,602.69,580.15,575.79,572.87,246.56
aug,1996,602.95,580.18,575.72,572.7,246.03
sep,1996,602.95,580.12,575.69,572.57,245.51
oct,1996,602.72,580.05,575.52,572.41,245.21
nov,1996,602.59,580.02,575.33,572.21,245.14
dec,1996,602.46,579.95,575.36,572.38,245.18
jan,1997,602.33,580.02,575.85,572.41,245.44
feb,1997,602.17,580.12,575.82,572.6,245.73
mar,1997,602.07,580.35,576.18,573.46,246.1
apr,1997,602.2,580.54,576.18,573.59,246.62
may,1997,602.49,580.94,576.38,573.62,247.15
jun,1997,602.53,581.14,576.8,574.18,247.05
jul,1997,602.76,581.33,576.87,574.02,246.69
aug,1997,602.62,581.23,576.64,573.59,246.1
sep,1997,602.46,581.1,576.38,573.29,245.64
oct,1997,602.4,580.77,575.95,572.87,245.21
nov,1997,602.23,580.35,575.49,572.47,244.85
dec,1997,601.97,579.99,575.33,572.44,244.72
jan,1998,601.71,579.86,575.62,572.83,245.47
feb,1998,601.51,579.76,575.69,573.03,246.26
mar,1998,601.35,579.86,575.85,573.26,246.56
apr,1998,601.54,580.35,576.15,573.62,247.44
may,1998,601.51,580.41,576.21,573.72,247.21
jun,1998,601.67,580.38,576.05,573.36,246.65
jul,1998,601.74,580.31,575.98,573.16,246.52
aug,1998,601.64,580.05,575.72,572.8,245.83
sep,1998,601.48,579.66,575.3,572.34,245.18
oct,1998,601.25,579.23,574.77,571.78,244.46
nov,1998,601.08,578.87,574.15,571.19,243.9
dec,1998,601.02,578.61,573.92,570.93,243.73
jan,1999,600.79,578.31,574.48,570.83,243.83
feb,1999,600.72,578.35,574.11,571.19,244.19
mar,1999,600.59,578.22,574.02,571.46,244.42
apr,1999,600.75,578.25,574.31,571.72,244.85
may,1999,601.05,578.35,574.31,571.78,245.11
jun,1999,601.41,578.54,574.51,571.75,245.34
jul,1999,601.8,578.74,574.54,571.59,245.44
aug,1999,601.94,578.61,574.38,571.33,245.18
sep,1999,601.84,578.22,574.02,571,244.69
oct,1999,601.64,577.89,573.65,570.73,244.32
nov,1999,601.44,577.56,573.33,570.54,244.19
dec,1999,601.18,577.4,573.16,570.41,244.32
jan,2000,600.92,577.17,572.93,570.28,244.42
feb,2000,600.66,577,572.31,570.05,244.26
mar,2000,600.66,577.1,573.03,570.31,244.69
apr,2000,600.79,577.17,573.36,570.7,245.47
may,2000,600.92,577.43,573.65,571.1,246.39
jun,2000,601.18,577.76,574.02,571.46,246.92
jul,2000,601.48,577.85,574.31,571.72,246.85
aug,2000,601.41,577.85,574.25,571.59,246.26
sep,2000,601.28,577.72,573.92,571.16,245.44
oct,2000,601.05,577.36,573.49,570.87,244.78
nov,2000,600.89,577.07,573,570.47,244.29
dec,2000,600.59,576.8,573.33,570.31,244.32
jan,2001,600.33,576.67,573.2,570.05,244.39
feb,2001,600.2,576.71,573.13,570.34,244.59
mar,2001,600.1,576.71,573.16,570.67,244.91
apr,2001,600.43,576.94,573.29,570.93,245.54
may,2001,601.18,577.26,573.46,571,245.83
jun,2001,601.48,577.62,573.79,571.16,246.03
jul,2001,601.57,577.59,573.79,570.96,245.96
aug,2001,601.67,577.53,573.52,570.67,245.47
sep,2001,601.61,577.46,573.33,570.31,244.85
oct,2001,601.38,577.53,573.26,570.21,244.52
nov,2001,601.35,577.59,573.16,570.21,244.32
dec,2001,601.38,577.59,573.29,570.41,244.49
jan,2002,601.12,577.4,573.13,570.37,244.62
feb,2002,600.85,577.26,573.39,570.77,245.01
mar,2002,600.75,577.4,573.49,570.93,245.37
apr,2002,600.85,577.62,573.95,571.52,246
may,2002,601.25,578.05,574.25,571.85,246.78
jun,2002,601.41,578.38,574.44,571.95,247.15
jul,2002,601.57,578.51,574.48,571.65,246.69
aug,2002,601.71,578.48,574.31,571.36,245.77
sep,2002,601.77,578.22,574.02,571,244.91
oct,2002,601.84,577.89,573.62,570.7,244.39
nov,2002,601.57,577.46,573.23,570.34,243.96
dec,2002,601.25,577.13,572.9,570.24,243.83
jan,2003,600.92,576.84,572.83,570.24,243.86
feb,2003,600.62,576.61,572.83,569.98,243.73
mar,2003,600.49,576.54,572.6,570.14,243.93
apr,2003,600.66,576.84,573.26,570.77,245.18
may,2003,600.98,577.17,573.56,571.13,245.9
jun,2003,601.15,577.43,573.79,571.42,246.46
jul,2003,601.25,577.56,573.88,571.46,246.23
aug,2003,601.35,577.49,573.88,571.42,246.03
sep,2003,601.28,577.23,573.56,571,245.24
oct,2003,601.25,577,573.13,570.6,244.85
nov,2003,601.15,577.07,573,570.37,244.88
dec,2003,601.02,577.1,573.1,570.51,245.18
jan,2004,600.85,577,573.1,570.67,245.51
feb,2004,600.62,576.9,573.03,570.37,245.24
mar,2004,600.62,577.1,573.39,570.73,245.14
apr,2004,600.82,577.36,573.69,571.26,245.7
may,2004,601.15,577.82,574.15,571.59,246.19
jun,2004,601.54,578.44,574.54,572.05,246.52
jul,2004,601.71,578.64,574.64,571.98,246.36
aug,2004,601.77,578.51,574.54,571.82,246.13
sep,2004,601.9,578.35,574.38,571.69,245.9
oct,2004,601.94,577.92,573.79,571.1,245.08
nov,2004,601.9,577.76,573.56,570.87,244.42
dec,2004,601.64,577.69,573.69,570.9,244.59
jan,2005,601.44,577.69,574.11,571.62,245.21
feb,2005,601.28,577.76,574.15,571.72,245.57
mar,2005,601.12,577.76,574.11,571.82,245.54
apr,2005,601.25,577.89,574.41,572.11,246.16
may,2005,601.41,578.05,574.41,572.18,246.42
jun,2005,601.67,578.12,574.31,571.92,246.13
jul,2005,601.77,578.05,574.25,571.59,245.87
aug,2005,601.64,577.99,574.02,571.33,245.37
sep,2005,601.54,577.72,573.82,571.13,245.05
oct,2005,601.64,577.43,573.56,570.87,244.75
nov,2005,601.54,577.2,573,570.47,244.69
dec,2005,601.38,577.03,573.2,570.34,244.59
jan,2006,601.18,577.03,573.26,570.77,244.85
feb,2006,600.98,577.17,573.49,571.06,245.6
mar,2006,600.79,577.2,573.62,571.23,245.47
apr,2006,600.92,577.46,573.75,571.39,245.51
may,2006,601.18,577.72,573.92,571.52,245.54
jun,2006,601.38,577.89,574.11,571.69,245.7
jul,2006,601.41,577.89,574.21,571.75,246
aug,2006,601.38,577.85,574.18,571.62,245.9
sep,2006,601.05,577.56,573.88,571.33,245.44
oct,2006,600.82,577.4,573.69,571.13,245.21
nov,2006,600.52,577.23,573.65,571.19,245.37
dec,2006,600.33,577.36,573.72,571.36,245.51
jan,2007,600.13,577.43,574.05,571.82,246
feb,2007,599.84,577.13,573.69,571.59,245.96
mar,2007,599.7,577.17,573.85,571.72,245.57
apr,2007,599.9,577.49,574.02,571.92,246.1
may,2007,599.97,577.62,574.21,572.01,246.23
jun,2007,600.2,577.69,574.11,571.72,246
jul,2007,600.39,577.59,573.88,571.36,245.6
aug,2007,600.43,577.43,573.82,571.29,245.11
sep,2007,600.46,577.26,573.59,571.13,244.62
oct,2007,600.98,577.03,573.16,570.67,244.16
nov,2007,600.98,576.67,572.7,570.21,243.8
dec,2007,600.75,576.38,572.7,570.41,243.83
jan,2008,600.66,576.44,573.03,570.6,244.62
feb,2008,600.49,576.64,573.65,571.16,245.24
mar,2008,600.3,576.71,573.75,571.72,245.64
apr,2008,600.43,577.17,574.11,572.15,246.65
may,2008,600.98,577.56,574.15,572.01,247.05
jun,2008,601.35,577.95,574.31,571.92,246.69
jul,2008,601.74,578.22,574.54,572.01,246.46
aug,2008,601.77,578.15,574.31,571.62,246.26
sep,2008,601.61,578.02,574.18,571.26,245.44
oct,2008,601.44,577.72,573.65,570.87,244.75
nov,2008,601.28,577.43,573.39,570.6,244.46
dec,2008,601.02,577.33,573.52,570.73,244.59
jan,2009,600.85,577.46,573.95,571,245.28
feb,2009,600.72,577.46,574.02,571.1,245.47
