Year ,School ,Speaker ,Event Type ,Controversy Topic ,Disinvitation? ,From Right or Left of Speaker ,Details
2015,New York University ,Harold Koh ,Teaching ,Civil Liberties ,No ,From the Left ,view 
2015,University of North Texas ,Greg Abbott ,Commencement ,"Views on Sexual Orientation, Views on Immigration ",No ,From the Left ,view 
2015,American Baptist College ,Yvette Flunder ,Campus Speech/Debate ,Views on Sexual Orientation ,No ,From the Right ,view 
2015,Saint Louis University ,Robert McCulloch ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2015,Duke University ,Asra Nomani ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2015,Kean University ,Common ,Commencement ,Other ,Yes ,From the Right ,view 
2015,Texas Tech University ,Angela Davis ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Right ,view 
2015,Oberlin College ,Christina Hoff Summers ,Campus Speech/Debate ,Views on Gender ,No ,From the Left ,view 
2015,Le Moyne College ,Timothy Dolan ,Commencement ,"Views on Sexual Orientation, Criminal/Other Misconduct ",No ,From the Left ,view 
2015,Princeton University ,Big Sean ,Other ,Other ,No ,From the Left ,view 
2015,Pennsylvania State University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2015,Harvard University ,Robin Steinberg ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2015,St. John Fisher College ,Rudolph Giuliani ,Commencement ,"Racial Issues, Other Political Views or Positions ",No ,From the Left ,view 
2015,"University of California, Los Angeles ",Cornel West ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2015,Alma College ,Ben Carson ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2015,University of Southern California ,Luis Gutierrez ,Campus Speech/Debate ,Views on Immigration ,Yes ,From the Right ,view 
2015,University of Minnesota ,Moshe Halbertal ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2015,Drexel University ,Noam Chomsky ,Commencement ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2014,"University of California, Davis ",Clint Bolick ,Campus Speech/Debate ,"Racial Issues, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2014,Goddard College ,Mumia Abu-Jamal ,Commencement ,Criminal/Other Misconduct ,No ,From the Right ,view 
2014,Valdosta State University ,Ben Carson ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions ",No ,From the Right ,view 
2014,Tufts University ,Eran Shamir-Borer ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2014,Montana Tech of the University of Montana ,Freg Gianforte ,Commencement ,"Views on Sexual Orientation, Evolution/Scientific Views ",No ,From the Left ,view 
2014,"University of California, Irvine ",Nonie Darwish ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2014,Barnard College ,Cecile Richards ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2014,Yale University ,Ayaan Hirsi Ali ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2014,Miami University (OH) ,George Will ,Campus Speech/Debate ,Views on Gender ,No ,From the Left ,view 
2014,"University of California, Berkeley ",Peter Thiel ,Campus Speech/Debate ,"Racial Issues, Civil Liberties ",Yes ,From the Left ,view 
2014,Laney College ,Janet Napolitano ,Commencement ,Views on Immigration ,No ,From the Left ,view 
2014,Suffolk University ,Abraham Foxman ,Commencement ,"Views on Islam, Other Political Views or Positions ",No ,From the Left ,view 
2014,Haverford College ,Robert Birgeneau ,Commencement ,Civil Liberties ,Yes ,From the Left ,view 
2014,Smith College ,Christine Lagarde ,Commencement ,Views on Gender ,Yes ,From the Left ,view 
2014,Pasadena City College ,Dustin Lance Black ,Commencement ,Other ,Yes ,N/A ,view 
2014,"University of California, Hastings College of Law ",Janet Napolitano ,Commencement ,Views on Immigration ,No ,From the Left ,view 
2014,Rutgers University ,Condoleezza Rice ,Commencement ,"Other Political Views or Positions, Civil Liberties ",Yes ,From the Left ,view 
2014,Harvard University Graduate School of Education ,Michael Johnston ,Commencement ,Other Political Views or Positions ,No ,N/A ,view 
2014,Michigan State University ,George Will ,Commencement ,Views on Gender ,No ,From the Left ,view 
2014,Utah State University ,Anita Sarkeesian ,Campus Speech/Debate ,Views on Gender ,Yes ,From the Right ,view 
2014,Scripps College ,George Will ,Campus Speech/Debate ,Views on Gender ,Yes ,From the Left ,view 
2014,"University of California, Berkeley ",Bill Maher ,Commencement ,Views on Islam ,No ,From the Left ,view 
2014,University of Minnesota ,Condoleezza Rice ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2014,Columbia University ,Alan Dershowitz ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2014,Harvard University ,Michael Bloomberg ,Commencement ,"Racial Issues, Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2014,Azusa Pacific University ,Charles Murray ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2014,Brandeis University ,Ayaan Hirsi Ali ,Commencement ,Views on Islam ,Yes ,From the Left ,view 
2014,Howard University ,Sean (Diddy) Combs ,Commencement ,Other ,No ,N/A ,view 
2013,Millersville University ,Tom Corbett ,Commencement ,Local Politics ,No ,From the Left ,view 
2013,Duquesne University ,Geraldo Rivera ,Campus Speech/Debate ,Other ,Yes ,From the Right ,view 
2013,Benedictine College ,Paul Ryan ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2013,Swarthmore College ,Robert Zoellick ,Commencement ,Other Political Views or Positions ,Yes ,From the Left ,view 
2013,Coastal Carolina University ,Tim Scott ,Commencement ,"Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2013,St. John's University ,Peter King ,Commencement ,Views on Islam ,No ,From the Left ,view 
2013,Brown University ,Ray Kelly ,Campus Speech/Debate ,"Racial Issues, Civil Liberties ",Yes ,From the Left ,view 
2013,Tuskegee University ,Louis Farrakhan ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues ",No ,From the Left ,view 
2013,Georgetown University ,Greta Van Susteren ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2013,University of Michigan ,Alice Walker ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2013,Xavier University ,Anthony Munoz ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2013,Providence College ,John Corvino ,Campus Speech/Debate ,Views on Sexual Orientation ,Yes ,From the Right ,view 
2013,University of Oklahoma ,Fareed Zakaria ,Commencement ,Criminal/Other Misconduct ,No ,N/A ,view 
2013,Grand Valley State University ,Rick Snyder ,Commencement ,Local Politics ,No ,From the Left ,view 
2013,Morehouse College ,Kevin Johnson ,Commencement ,Other Political Views or Positions ,Yes ,From the Left ,view 
2013,The George Washington University ,Alec Baldwin ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2013,Johns Hopkins University ,Ben Carson ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2013,Pasadena City College ,James Deen ,Campus Speech/Debate ,Other ,Yes ,From the Right ,view 
2013,Saint Louis University ,Scott Brown ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2013,Yeshiva University ,Jimmy Carter ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2013,University of Michigan ,Jennifer Gratz ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2013,Midwestern State University ,Ben Carson ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2013,University of Massachusetts Amherst ,Karl Rove ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2013,"University of California, Santa Barbara ",David Harris-Gershon ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2013,University of Montana Western ,Carol & Pat Williams ,Commencement ,Other ,No ,N/A ,view 
2013,Skidmore College ,Cynthia Carroll ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2013,University of Pennsylvania ,Narendra Modi ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2013,Western New England University Law School ,Lois Lerner ,Commencement ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2013,Lehigh University ,Hisham Melhem ,Campus Speech/Debate ,Other Political Views or Positions ,No ,N/A ,view 
2013,University of Illinois at Urbana-Champaign ,Shahid Khan ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2013,Saint Louis University ,Scott Brown ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2013,"University of California, Berkeley ",Eric Holder ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2013,Georgetown University ,Ramy Jan ,Campus Speech/Debate ,"Racial Issues, Views on Israeli-Palestinian Conflict ",Yes ,From the Right ,view 
2013,Boston College ,Edna Kenny ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2012,Gonzaga University ,Desmond Tutu ,Commencement ,"Views on Abortion/Contraception, Views on Sexual Orientation ",No ,From the Right ,view 
2012,Liberty University ,Mitt Romney ,Commencement ,Speaker's Religion ,No ,N/A ,view 
2012,"University of California, Berkeley ",Louis Farrakhan ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues ",No ,From the Left ,view 
2012,Adrian College ,Pat Boone ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2012,Temple University ,Robert Spencer ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2012,"Indiana University, Bloomington ",Douglas Wilson ,Campus Speech/Debate ,Views on Sexual Orientation ,No ,From the Left ,view 
2012,"University of California, Davis ",Ran Bar-Yoshafat ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
